topic_id,topic_name,count_total
1abffadf,"аварийное, ветхое жилье",16
638287e4,акты гражданского состояния,1
06890700,безнадзорные животные,103
4be541c4,бесплатная юридическая помощь,2
50ab8ccc,благоустройство,3483
c7323fd7,благоустройство и озеленение,6516
57e4d3b1,благоустройство придомовой территории,1974
8f3c278c,браконьерство,2
a894e4a4,"вакцинация, обработка, диагностические исследования",8
0799f1e8,"ведение строительных работ без разрешения на строительство (для объектов, подлежащих государственному строительному надзору в соответствии со ст. 49 и 54 градостроительного кодекса рф)",1
fd0954da,ветеринария,2
95ba25f3,ветеринарные услуги,11
f8f542a2,водоснабжение,3399
4781b515,возгорание полигона твердых бытовых отходов,13
f2678eae,выплаты и пособия,31
ed85eac7,вырубка и уборка древесно-кустарниковой растительности в пределах охранной зоны газопровода (на территории города тулы),1
26f1abae,"высокое напряжение в электросети, находящейся в зоне обслуживания ао «тгэс»",3
3912377d,"высокое напряжение в электросети, находящейся в зоне обслуживания филиала «тулэнерго» пао «мрск центра и приволжья»",73
24963c7d,газификация,131
4ff1ec56,газоснабжение,38
7ae17273,гололед на пешеходных дорожках в парках г. тулы,11
44936645,"гололед на пешеходных дорожках в скверах, парках муниципальных образований",59
8b25fb0d,гололед на пешеходных дорожках на территории мемориального комплекса,8
b20734df,гололед на пешеходных дорожках на территориях государственных и муниципальных учреждений,49
115019c7,гололед на придомовой территории многоквартирного дома,2510
b3d95335,гололед на проезжей части и пешеходной зоне,4125
7a7035ae,государственная охрана объектов культурного наследия,2
1fd5f04a,государственный надзор в сфере строительства,17
12177010,граждане пожилого возраста и инвалиды,8
efe403ac,грубое обращение водителя с пассажирами,159
ae723e0f,демонстрация табачной продукции,6
6fe10652,детские и спортивные площадки,303
5f3a048a,деятельность органов исполнительной власти и местного самоуправления,66
a720b387,длительное время не работает диагностическое оборудование в медицинском учреждении,23
ec547a46,длительное время отсутствует свободная запись на госуслугах и/или на сайте доктор71,239
1513208b,длительное ожидание приема врачами-специалистами,109
49ce3dc3,долевое строительство,1
43cbcaaa,дорожное хозяйство,6627
61a7cfb7,доступная среда,5
a93ea54a,жилищно-коммунальные услуги,115
