run_id,model_family,config_path,split,unseen_policy,recall@1,recall@3,recall@5,recall@10,macro_f1,weighted_f1,mrr@10,ndcg@10,head_recall@10,mid_recall@10,tail_recall@10,latency_p50_ms,latency_p95_ms,taxonomy_version,splits_version,splits_legacy_random_val,notes
20260427_143330_most_frequent,baseline_most_frequent,configs/baseline.yaml,test,known_only,0.0000,0.0000,0.1159,0.2363,0.0000,0.0000,0.0426,0.0867,0.2530,0.0000,0.0000,0.0000,0.0000,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260427_143358_sparse_linear_svc,sparse,configs/sparse.yaml,test,known_only,0.4217,0.5856,0.6492,0.6989,0.1342,0.4032,0.5154,0.5601,0.7165,0.4732,0.2885,1.3098,2.3592,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260427_165442_retrieval_e5,retrieval,configs/retrieval.yaml,test,known_only,0.3062,0.5345,0.6305,0.7725,0.1371,0.3144,0.4462,0.5239,0.7776,0.7708,0.2500,6.7728,10.5887,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260427_170433_hybrid_weighted_score_minmax,hybrid,configs/hybrid.yaml,test,known_only,0.4336,0.6237,0.7099,0.8163,0.1600,0.4248,0.5513,0.6146,0.8231,0.7917,0.2500,1.3425,2.1101,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260427_171719_hybrid_weighted_score_minmax,hybrid,configs/best.yaml,test,known_only,0.4334,0.6280,0.7091,0.8161,0.1591,0.4246,0.5520,0.6151,0.8231,0.7887,0.2500,1.3964,2.2776,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260429_022150_bm25_topic_name,sparse,E:/Python/orLLM/experiments/bm25_v1/configs/bm25_topic_name.yaml,test,known_only,0.0673,0.1246,0.1685,0.2216,0.0699,0.0972,0.1084,0.1350,0.0000,0.0899,0.2612,0.9871,3.1379,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260429_022250_bm25_aggtext,sparse,E:/Python/orLLM/experiments/bm25_v1/configs/bm25_topic_aggtext.yaml,test,known_only,0.1979,0.3696,0.4674,0.6201,0.0926,0.2266,0.3146,0.3866,0.0000,0.7474,0.5819,0.9325,2.9609,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260429_022348_bm25_doc_level,sparse,E:/Python/orLLM/experiments/bm25_v1/configs/bm25_doc_level.yaml,test,known_only,0.1990,0.3554,0.4621,0.6238,0.0878,0.2288,0.3123,0.3853,0.0000,0.8100,0.5679,0.8712,2.5775,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260429_023412_bm25_topic_name,sparse,E:/Python/orLLM/experiments/bm25_v1/configs/bm25_topic_name.yaml,test,known_only,0.0597,0.1112,0.1468,0.1897,0.0325,0.0740,0.0954,0.1176,0.1928,0.1488,0.1224,0.7794,2.3795,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260429_023849_bm25_aggtext,sparse,E:/Python/orLLM/experiments/bm25_v1/configs/bm25_topic_aggtext.yaml,test,known_only,0.3856,0.5803,0.6711,0.7904,0.1180,0.3766,0.5080,0.5753,0.8284,0.2708,0.0816,1.4235,4.6699,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260429_223142_prefix_val,prefix_eval,E:/Python/orLLM/configs/prefix.yaml,val,known_only,0.8828,0.8828,0.8828,0.8828,0.0000,0.0000,0.8828,0.8828,,,,,,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,true,"prefix_eval, picked (L_min=100, channel=max_score, tau=0.980683)"
20260429_225812_prefix_test,prefix_eval,E:/Python/orLLM/configs/prefix.yaml,test,known_only,0.8609,0.8609,0.8609,0.8609,0.0000,0.0000,0.8609,0.8609,,,,,,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,true,"prefix_eval, picked (L_min=100, channel=max_score, tau=0.980683)"
